"primary_cluster","secondary_cluster","Lee Hoi-chang	(Grand National)","Kim Dae-jung (National Congress for New Politics)","Lee In-je	(New National)","Kwon Young-ghil	(People's Victory for 21st Century)","Huh Kyung-young	(Republican)","Kim Han-sik	(Honest Politics Unite)","Shin Jeong Yil (Unified Korea)","invalid","blank"
"Busan","Busanjin-gu-B",63285,17426,36149,1541,142,111,189,1832,31491
"Busan","Dongnae-gu-B",44113,9586,19244,919,76,72,79,935,18814
"Busan","Nam-gu-B",42702,12912,25232,1014,73,93,126,1116,21437
"Busan","Saha-gu-B",53097,19459,40098,1228,123,112,183,1712,33974
"Busan","Jung-gu",21138,5699,8133,341,48,37,55,517,10585
"Busan","Seo-gu",52152,13796,26080,1060,105,107,209,1587,28886
"Busan","Dong-gu",45211,11443,22364,930,100,74,168,1279,22750
"Busan","Yeongdo-gu",55828,20585,29072,1464,139,130,181,1737,33877
"Busan","Busanjin-gu-A",68656,20561,34315,1464,117,156,205,1758,33157
"Busan","Dongnae-gu-A",53462,12787,25487,1155,81,95,137,1175,22836
"Busan","Nam-gu-A",51046,13087,25185,1099,94,110,123,1248,23796
"Busan","Buk-gu",71423,23525,55332,1833,163,157,192,2249,40867
"Busan","Haeundae-gu",105882,30760,60363,2431,212,205,282,2594,53607
"Busan","Gijang-gun",20202,5484,14276,771,65,41,132,734,10876
"Busan","Saha-gu-A",52054,12183,26428,1136,76,82,115,1060,23847
"Busan","Geumjeong-gu-A",42043,12595,25437,1086,109,72,178,1154,21136
"Busan","Geumjeong-gu-B",49792,10554,21787,1358,78,62,115,980,20747
"Busan","Gangseo-gu",16397,4353,15427,283,72,43,127,670,12086
"Busan","Yeonje-gu",72667,19903,35058,1656,127,143,195,1676,33485
"Busan","Suyeong-gu",65581,15635,26253,1200,90,144,133,1367,28290
"Busan","Sasang-gu-A",31335,14025,24124,732,79,77,114,1118,20016
"Busan","Sasang-gu-B",39003,13820,27912,880,83,88,121,1106,21741
"Chungcheongbuk-do","Heungdeok-gu, Cheongju-si",53820,61972,38769,2849,299,209,221,2299,42854
"Chungcheongbuk-do","Sangdang-gu, Cheongju-si",42869,46796,29159,1646,215,200,242,1688,30955
"Chungcheongbuk-do","Chungju-si",34755,38839,40391,1216,463,274,452,2188,31882
"Chungcheongbuk-do","Jecheon-si",28782,20703,28088,917,329,200,364,1511,21206
"Chungcheongbuk-do","Danyang-gun",7324,6143,9509,315,135,104,209,682,6451
"Chungcheongbuk-do","Cheongwon-gun",16528,30125,18644,919,281,305,401,1600,19068
"Chungcheongbuk-do","Yeongdong-gun",11542,11346,11216,421,218,162,301,972,8979
"Chungcheongbuk-do","Boeun-gun",6351,11701,7914,193,126,145,184,804,6954
"Chungcheongbuk-do","Okcheon-gun",7936,16175,10654,504,162,190,250,838,9382
"Chungcheongbuk-do","Eumseong-gun",12843,19248,15208,474,201,177,234,1004,12386
"Chungcheongbuk-do","Jincheon-gun",7774,14535,9497,333,126,126,180,861,8374
"Chungcheongbuk-do","Goesan-gun",12686,18083,13205,445,229,221,319,1233,11934
"Chungcheongnam-do","Cheonan-si-A",30506,39659,24604,1101,221,299,245,1938,28613
"Chungcheongnam-do","Cheonan-si-B",28130,37901,25560,1272,193,215,177,1469,24996
"Chungcheongnam-do","Gongju-si",14620,34907,21282,564,287,352,347,1819,22338
"Chungcheongnam-do","Boryeong-si",12432,33907,15208,499,209,309,319,1712,21211
"Chungcheongnam-do","Asan-si",22589,44023,22066,1902,228,280,287,1885,29747
"Chungcheongnam-do","Geumsan-gun",7153,17236,11180,247,173,270,306,1040,12608
"Chungcheongnam-do","Yeongi-gun",9788,19889,13402,448,146,172,172,1063,12586
"Chungcheongnam-do","Nonsan-si",11721,40199,37023,521,283,268,280,1856,25560
"Chungcheongnam-do","Buyeo-gun",6990,33053,12553,318,165,322,227,1373,16043
"Chungcheongnam-do","Seocheon-gun",8991,23998,10358,294,140,202,245,1239,14072
"Chungcheongnam-do","Hongseong-gun",16104,25802,10420,385,146,234,292,1408,16416
"Chungcheongnam-do","Cheongyang-gun",5355,12221,6093,164,113,154,163,774,7327
"Chungcheongnam-do","Yesan-gun",25339,24774,7773,339,148,232,355,1201,16997
"Chungcheongnam-do","Seosan-si",16125,41122,17760,850,212,346,242,1631,24029
"Chungcheongnam-do","Taean-gun",6637,19103,9734,221,157,224,223,935,12747
"Chungcheongnam-do","Dangjin-gun",12977,35299,16786,479,190,230,242,1449,21347
"Daegu","Dong-gu-B",65420,12655,13845,1097,138,89,323,1386,28085
"Daegu","Seo-gu-B",54919,9617,12651,998,120,77,298,1332,24065
"Daegu","Buk-gu-B",79369,14263,15938,1296,142,131,283,1405,27261
"Daegu","Jung-gu",46225,7257,6087,642,60,57,204,799,16634
"Daegu","Dong-gu-A",66780,11877,11903,1272,124,95,304,1254,26335
"Daegu","Seo-gu-A",66466,10868,12638,1002,107,91,302,1227,25664
"Daegu","Nam-gu",88485,14546,13104,1412,136,100,311,1617,34454
"Daegu","Buk-gu-A",71008,11975,13151,1147,132,87,293,1364,27013
"Daegu","Suseong-gu-A",98740,16341,14485,1713,132,102,300,1370,31893
"Daegu","Suseong-gu-B",92950,14597,12540,1301,123,96,258,1417,30274
"Daegu","Dalseo-gu-A",82942,13962,16467,1335,132,82,347,1549,31602
"Daegu","Dalseo-gu-B",104787,18027,18898,1679,194,125,400,1749,36965
"Daegu","Dalseong-gun",47516,10591,11942,1364,121,97,485,1461,20075
"Daejeon","Dong-gu-B",15819,28235,15915,669,117,121,85,983,18782
"Daejeon","Seo-gu-B",43295,53235,25191,1394,136,181,94,1290,28672
"Daejeon","Dong-gu-A",20259,35379,20151,797,158,197,159,1486,23762
"Daejeon","Jung-gu",40011,63096,32804,1460,196,267,186,2007,40538
"Daejeon","Seo-gu-A",28178,47865,26152,1070,140,199,139,1428,28833
"Daejeon","Yuseong-gu",24295,31722,15937,1443,120,154,112,1070,18219
"Daejeon","Daedeok-gu",27409,47961,28224,1611,161,233,161,1664,29847
"Gangwon-do","Chuncheon-si-A",27986,16455,19147,701,205,154,247,1081,17347
"Gangwon-do","Chuncheon-si-B",29590,17143,18864,815,196,192,221,917,17265
"Gangwon-do","Wonju-si-A",27457,18471,20143,1163,177,115,203,1124,18260
"Gangwon-do","Wonju-si-B",27052,18356,21152,864,232,139,289,1275,17148
"Gangwon-do","Gangneung-si-A",32166,10244,12431,581,171,88,239,930,16106
"Gangwon-do","Gangneung-si-B",37339,12512,13008,624,167,70,241,1097,19256
"Gangwon-do","Donghae-si",28099,10581,14077,497,157,82,213,893,16439
"Gangwon-do","Taebaek-si",14286,5469,10957,310,122,47,126,541,10031
"Gangwon-do","Jeongseon-gun",10396,6148,11491,204,204,88,226,744,9288
"Gangwon-do","Sokcho-si",19932,11287,12127,331,73,63,108,596,13923
"Gangwon-do","Goseong-gun",8765,5265,6704,125,67,48,124,459,5612
"Gangwon-do","Yangyang-gun",7417,4567,5493,141,61,46,121,403,4319
"Gangwon-do","Inje-gun",6153,5515,6580,128,100,59,131,418,4903
"Gangwon-do","Samcheok-si",22997,8325,14859,376,196,107,363,1213,12811
"Gangwon-do","Hongcheon-gun",12731,10964,16593,293,262,139,319,962,11394
"Gangwon-do","Hoengseong-gun",7879,7203,11252,209,157,95,233,654,6944
"Gangwon-do","Yeongwol-gun",9936,6065,11030,288,208,99,229,650,8131
"Gangwon-do","Pyeongchang-gun",10018,6098,9885,224,210,67,243,535,8011
"Gangwon-do","Hwacheon-gun",4914,4039,5240,93,58,48,95,291,3612
"Gangwon-do","Cheorwon-gun",9532,9092,11068,175,105,58,118,561,7289
"Gangwon-do","Yanggu-gun",4276,3639,5039,89,73,47,72,309,3168
"Gwangju","Dong-gu",1776,84226,512,160,22,87,42,1054,11308
"Gwangju","Seo-gu",2297,136603,814,254,24,104,28,1176,15505
"Gwangju","Nam-gu",2501,142353,795,259,30,135,58,1451,17247
"Gwangju","Buk-gu-A",1989,121960,662,252,21,80,32,1297,14360
"Gwangju","Buk-gu-B",2369,141592,946,292,22,91,45,1357,15835
"Gwangju","Gwangsan-gu",2362,127425,1452,261,35,163,68,1491,13274
"Gyeonggi-do","Gwonseon-gu, Suwon-si",53339,58090,38588,1691,222,239,155,2073,38262
"Gyeonggi-do","Jangan-gu, Suwon-si",51151,52560,33114,1702,212,252,132,1809,34880
"Gyeonggi-do","Jungwon-gu, Seongnam-si",40779,73650,33343,1299,182,254,154,2333,38926
"Gyeonggi-do","Bundang-gu, Seongnam-si",109195,75438,26549,2016,171,388,124,1597,40371
"Gyeonggi-do","Manan-gu, Anyang-si",49009,59608,29081,1621,167,202,136,1871,35450
"Gyeonggi-do","Dongan-gu, Anyang-si-B",37769,32969,13866,833,74,140,53,830,16811
"Gyeonggi-do","Wonmi-gu, Bucheon-si-B",43886,50207,21841,1407,104,178,94,1432,23466
"Gyeonggi-do","Ojeong-gu, Bucheon-si",29533,44742,21338,882,102,182,101,1671,24256
"Gyeonggi-do","Sosa-gu, Bucheon-si",39644,49484,21754,1312,124,190,115,1562,27029
"Gyeonggi-do","Ilsan-gu, Goyang-si",91210,78408,31083,2159,188,239,164,1978,43819
"Gyeonggi-do","Paldal-gu, Suwon-si",47962,44680,29535,1145,191,173,143,1628,30627
"Gyeonggi-do","Sujeong-gu, Seongnam-si",39818,70909,30914,1362,188,265,151,2258,36469
"Gyeonggi-do","Uijeongbu-si",63136,63019,35619,1518,257,218,224,2245,41505
"Gyeonggi-do","Dongan-gu, Anyang-si-A",37145,40781,16931,985,92,176,75,1085,21187
"Gyeonggi-do","Wonmi-gu, Bucheon-si-A",28239,42516,19342,988,96,151,94,1531,23819
"Gyeonggi-do","Gwangmyeong-si-A",30068,44831,17697,865,95,153,84,1227,21974
"Gyeonggi-do","Gwangmyeong-si-B",35138,42570,16031,1208,96,137,117,1070,19541
"Gyeonggi-do","Pyeongtaek-si-A",27470,33378,25211,1481,173,162,157,1301,22676
"Gyeonggi-do","Pyeongtaek-si-B",31407,36796,27389,2352,222,219,224,1511,25177
"Gyeonggi-do","Dongducheon-si",15813,13745,10545,394,80,64,106,685,10747
"Gyeonggi-do","Yangju-gun",19097,18021,16300,412,136,114,199,991,13716
"Gyeonggi-do","Ansan-si-A",47570,64104,32727,1738,140,212,114,2078,36307
"Gyeonggi-do","Ansan-si-B",36185,58720,33547,1523,172,198,138,2062,34633
"Gyeonggi-do","Gwacheon-si",18875,15252,5011,631,27,74,37,374,8315
"Gyeonggi-do","Uiwang-si",22793,25085,12346,896,71,107,55,724,13011
"Gyeonggi-do","Gunpo-si",54980,59056,25556,1983,143,204,123,1537,28048
"Gyeonggi-do","Siheung-si",35284,46106,28181,1121,154,214,158,1718,25335
"Gyeonggi-do","Guri-si",30956,34294,21193,688,113,119,132,1256,22264
"Gyeonggi-do","Namyangju-si",49081,52762,42334,1102,307,277,331,2225,39766
"Gyeonggi-do","Yeoju-gun",16079,14867,22272,443,199,125,243,1171,15037
"Gyeonggi-do","Osan-si",11475,14679,13068,426,64,93,68,475,9762
"Gyeonggi-do","Hwaseong-gun",27271,33867,33253,1175,252,239,313,1809,27431
"Gyeonggi-do","Paju-si",36566,29122,30421,638,273,254,356,1692,26658
"Gyeonggi-do","Deogyang-gu, Goyang-si",71872,75339,34678,2045,189,281,228,2225,45926
"Gyeonggi-do","Hanam-si",23156,26217,16877,487,85,109,90,981,17154
"Gyeonggi-do","Gwangju-gun",16975,20390,20091,352,130,108,151,1109,15922
"Gyeonggi-do","Pocheon-gun",29414,23302,22338,482,277,202,372,1570,20127
"Gyeonggi-do","Yeoncheon-gun",11147,9541,10348,207,88,78,173,706,7567
"Gyeonggi-do","Yangpyeong-gun",15036,12043,18318,326,204,151,298,1063,12396
"Gyeonggi-do","Gapyeong-gun",10570,8699,12281,223,158,89,194,752,8333
"Gyeonggi-do","Icheon-si",27314,27099,33487,860,207,168,264,1351,24562
"Gyeonggi-do","Yongin-si",53141,57844,43985,1412,320,319,307,2422,41737
"Gyeonggi-do","Anseong-gun",21908,24995,22558,716,210,204,269,1392,17776
"Gyeonggi-do","Gimpo-gun",23652,21792,20763,502,122,114,199,1101,18307
"Gyeongsangbuk-do","Nam-gu, Pohang-si",87567,19906,27334,2390,134,131,430,2209,36841
"Gyeongsangbuk-do","Buk-gu, Pohang-si",91479,16872,20378,1688,166,112,386,1869,33254
"Gyeongsangbuk-do","Ulleung-gun",3609,597,1896,31,11,4,37,97,1525
"Gyeongsangbuk-do","Gyeongju-si-A",47216,9721,18819,1827,212,96,546,2002,22868
"Gyeongsangbuk-do","Gyeongju-si-B",50757,9998,17523,2714,131,67,348,1442,20769
"Gyeongsangbuk-do","Gimcheon-si",55679,9385,18150,780,210,135,709,2099,20724
"Gyeongsangbuk-do","Andong-si-A",32698,7391,12439,739,128,111,366,1094,15641
"Gyeongsangbuk-do","Andong-si-B",29060,7356,11904,653,164,127,433,1297,14260
"Gyeongsangbuk-do","Gumi-si-A",49479,13397,20667,2136,126,91,172,1043,22807
"Gyeongsangbuk-do","Gumi-si-B",48839,11347,16204,1341,145,97,432,1437,18917
"Gyeongsangbuk-do","Yeongju-si",44944,8434,20108,813,237,132,572,1647,19322
"Gyeongsangbuk-do","Yeongcheon-si",42016,10821,13480,730,135,102,676,1674,20473
"Gyeongsangbuk-do","Sangju-si",46321,9201,17946,693,319,175,801,2417,18991
"Gyeongsangbuk-do","Mungyeong-si",32918,5774,11901,404,191,103,491,1242,13617
"Gyeongsangbuk-do","Yecheon-gun",22028,4991,9123,382,178,102,555,1326,10154
"Gyeongsangbuk-do","Gyeongsan-si",70866,14155,18287,1409,145,115,527,1771,31669
"Gyeongsangbuk-do","Cheongdo-gun",20071,4513,7232,302,95,65,434,1226,9004
"Gyeongsangbuk-do","Goryeong-gun",14383,3502,3889,206,53,46,237,769,6688
"Gyeongsangbuk-do","Seongju-gun",20013,4685,5934,251,94,78,466,896,8185
"Gyeongsangbuk-do","Gunwi-gun",12049,3137,3991,167,69,44,292,700,4941
"Gyeongsangbuk-do","Chilgok-gun",31984,7640,10231,759,105,57,400,1061,12955
"Gyeongsangbuk-do","Uiseong-gun",29156,7908,11313,446,168,106,554,1293,12713
"Gyeongsangbuk-do","Cheongsong-gun",11546,3831,5123,259,202,56,273,581,5400
"Gyeongsangbuk-do","Yeongdeok-gun",18600,3916,7909,245,72,65,394,1101,9360
"Gyeongsangbuk-do","Yeongyang-gun",6911,2552,4193,142,76,38,196,420,4017
"Gyeongsangbuk-do","Bonghwa-gun",12924,3427,8818,346,230,97,421,891,7800
"Gyeongsangbuk-do","Uljin-gun",20247,5946,10295,529,381,124,575,1242,11030
"Gyeongsangnam-do","Hoewon-gu, Masan-si",67783,11437,31688,1967,115,96,185,1494,29155
"Gyeongsangnam-do","Changwon-si-A",69604,16575,42952,3744,153,132,228,1778,31846
"Gyeongsangnam-do","Changwon-si-B",66247,19397,35252,4823,125,78,119,1135,24397
"Gyeongsangnam-do","Happo-gu, Masan-si",75966,10714,28320,1700,135,101,372,1880,30495
"Gyeongsangnam-do","Jinju-si-A",58241,7259,18809,1227,115,146,298,1530,19955
"Gyeongsangnam-do","Jinju-si-B",63388,8611,23567,1407,181,131,379,1980,23131
"Gyeongsangnam-do","Jinhae-si",44320,9168,21025,943,98,60,178,919,15292
"Gyeongsangnam-do","Tongyeong-si",38323,4921,28214,554,191,129,452,1576,22337
"Gyeongsangnam-do","Goseong-gun",19530,3500,14047,414,146,62,360,1023,11487
"Gyeongsangnam-do","Sacheon-si",39884,6245,19911,748,147,95,423,1620,17190
"Gyeongsangnam-do","Gimhae-si",69888,21719,62974,1499,247,165,372,2415,41006
"Gyeongsangnam-do","Uiryeong-gun",11866,2064,7498,194,120,48,326,997,5950
"Gyeongsangnam-do","Haman-gun",20539,3677,13498,459,93,73,289,1098,9769
