"primary_cluster","secondary_cluster","Lee Hoi-chang	(Grand National)","Roh Moo-hyun (Millennium Democratic)","Lee Han-dong (One National People Unite)","Kwon Young-ghil	(Democratic Labor)","Kim Yeong-Gyu	(Socialist)","Kim Gil-soo	(Fatherland Defenders)","invalid","blank"
"Busan","Jung-gu",21863,8271,29,780,17,36,235,13479
"Busan","Seo-gu",55480,21427,106,2118,60,88,729,36104
"Busan","Dong-gu",47735,17906,101,1998,53,70,556,28013
"Busan","Yeongdo-gu",58857,30434,97,2882,72,116,804,42168
"Busan","Busanjin-gu",155659,67208,231,6932,159,285,1831,88084
"Busan","Dongnae-gu",109620,42490,167,4794,97,144,1050,59544
"Busan","Nam-gu",112546,48196,152,5291,104,174,1080,64616
"Busan","Buk-gu",98842,53360,168,5324,106,140,1106,64915
"Busan","Haeundae-gu",134675,61935,223,6461,133,160,1190,84636
"Busan","Gijang-gun",25782,12152,71,1528,30,62,470,16581
"Busan","Saha-gu",126980,59075,204,6066,154,196,1281,81832
"Busan","Geumjeong-gu",101690,41976,163,5103,106,168,1090,58332
"Busan","Gangseo-gu",19451,10581,46,719,22,43,380,14237
"Busan","Yeonje-gu",84843,35481,107,4005,98,126,734,47406
"Busan","Suyeong-gu",68105,26683,116,2670,67,87,694,39148
"Busan","Sasang-gu",92146,50771,167,4610,102,169,1169,63555
"Chungcheongbuk-do","Sangdang-gu, Cheongju-si",52010,52100,426,6021,119,206,1028,55127
"Chungcheongbuk-do","Heungdeok-gu, Cheongju-si",72771,80044,465,10411,153,289,1168,83996
"Chungcheongbuk-do","Chungju-si",44164,52722,456,5090,127,389,1180,49735
"Chungcheongbuk-do","Jecheon-si",34051,31980,291,4167,95,282,965,33292
"Chungcheongbuk-do","Danyang-gun",9097,9140,119,1184,29,124,391,8807
"Chungcheongbuk-do","Cheongwon-gun",23891,34130,313,3432,93,232,995,29160
"Chungcheongbuk-do","Yeongdong-gun",13787,14523,141,1772,36,144,594,12371
"Chungcheongbuk-do","Boeun-gun",8060,12897,163,1188,37,153,455,8930
"Chungcheongbuk-do","Okcheon-gun",10834,18612,220,1825,74,209,618,12839
"Chungcheongbuk-do","Eumseong-gun",16665,22804,229,2473,80,188,653,20234
"Chungcheongbuk-do","Jincheon-gun",10583,16645,149,2020,38,136,452,13594
"Chungcheongbuk-do","Goesan-gun",15131,20026,233,2148,68,258,724,17172
"Chungcheongnam-do","Cheonan-si",82814,98520,711,12847,217,473,1726,105487
"Chungcheongnam-do","Gongju-si",25531,35380,420,2853,106,353,1102,32898
"Chungcheongnam-do","Boryeong-si",22473,27951,383,2799,102,296,915,29934
"Chungcheongnam-do","Asan-si",33568,43168,363,7563,112,298,1029,52019
"Chungcheongnam-do","Geumsan-gun",10661,19166,177,1121,78,283,649,16143
"Chungcheongnam-do","Yeongi-gun",14393,23241,240,1962,50,186,546,20324
"Chungcheongnam-do","Nonsan-si",26221,48456,523,3446,140,412,1049,41841
"Chungcheongnam-do","Buyeo-gun",14825,27674,322,2428,75,312,783,21450
"Chungcheongnam-do","Seocheon-gun",12765,22028,240,1439,45,234,615,17787
"Chungcheongnam-do","Hongseong-gun",22782,20970,304,1923,58,251,848,22198
"Chungcheongnam-do","Cheongyang-gun",9476,10077,152,876,41,176,503,8959
"Chungcheongnam-do","Yesan-gun",37572,12965,152,1349,31,128,903,21445
"Chungcheongnam-do","Seosan-si",26634,36292,431,4321,111,405,1019,37319
"Chungcheongnam-do","Taean-gun",12140,18157,216,1528,63,231,598,17870
"Chungcheongnam-do","Dangjin-gun",23255,30486,339,3124,74,284,779,30206
"Daegu","Jung-gu",39356,8209,71,1225,34,42,429,20484
"Daegu","Dong-gu",133296,34553,253,5797,109,189,1679,74390
"Daegu","Seo-gu",108754,24715,190,4276,99,161,1475,65396
"Daegu","Nam-gu",80232,18063,123,2912,60,83,839,45188
"Daegu","Buk-gu",166058,42417,295,7320,133,226,1809,87223
"Daegu","Suseong-gu",185389,40686,285,6790,147,232,1609,84809
"Daegu","Dalseo-gu",232000,56290,363,10123,175,282,2239,118509
"Daegu","Dalseong-gun",57079,15812,119,3731,53,102,980,31195
"Daejeon","Dong-gu",42817,66942,460,4707,157,335,1230,63390
"Daejeon","Jung-gu",52260,71224,458,5236,140,288,1013,64983
"Daejeon","Seo-gu",98176,122397,659,9442,220,389,1449,107009
"Daejeon","Yuseong-gu",35618,47621,233,4550,88,166,578,35689
"Daejeon","Daedeok-gu",37889,60862,347,5793,142,230,913,52441
"Gangwon-do","Chuncheon-si",64221,54187,549,6523,111,350,1463,56079
"Gangwon-do","Wonju-si",63614,58351,613,8059,190,347,1369,64049
"Gangwon-do","Gangneung-si",67497,39727,367,4530,148,222,1287,55894
"Gangwon-do","Donghae-si",29429,16989,138,2226,39,110,604,25536
"Gangwon-do","Samcheok-si",24789,13438,167,1699,39,171,807,17999
"Gangwon-do","Taebaek-si",15868,9721,69,1349,35,76,316,14347
"Gangwon-do","Jeongseon-gun",13124,10008,123,1212,33,163,555,11417
"Gangwon-do","Sokcho-si",22040,16346,108,1579,40,78,356,23774
"Gangwon-do","Goseong-gun",9325,7699,76,734,25,50,275,7863
"Gangwon-do","Yangyang-gun",8718,6972,75,710,23,69,290,6438
"Gangwon-do","Inje-gun",7674,8124,81,842,31,89,366,6515
"Gangwon-do","Hongcheon-gun",17127,17546,250,1969,57,239,736,16412
"Gangwon-do","Hoengseong-gun",10617,11965,129,1703,58,158,491,9735
"Gangwon-do","Yeongwol-gun",11946,10557,107,1276,37,148,492,10813
"Gangwon-do","Pyeongchang-gun",11393,10471,138,1471,38,193,456,10884
"Gangwon-do","Hwacheon-gun",5912,6214,87,743,19,66,204,4790
"Gangwon-do","Yanggu-gun",5229,5785,75,646,16,73,224,4484
"Gangwon-do","Cheorwon-gun",11882,12622,254,1451,30,111,332,10579
"Gwangju","Dong-gu",3534,63650,100,568,41,135,483,21382
"Gwangju","Seo-gu",6066,158220,147,1424,59,175,760,43484
"Gwangju","Nam-gu",4353,118176,146,986,44,170,671,35616
"Gwangju","Buk-gu",8498,241808,256,2284,101,265,1194,72772
"Gwangju","Gwangsan-gu",4418,133328,154,1981,60,269,874,38570
"Gyeonggi-do","Jangan-gu, Suwon-si",75858,82747,458,8707,139,235,968,69981
"Gyeonggi-do","Gwonseon-gu, Suwon-si",67993,75989,557,7551,131,247,1017,74257
"Gyeonggi-do","Paldal-gu, Suwon-si",72994,79600,413,7181,116,226,757,71437
"Gyeonggi-do","Sujeong-gu, Seongnam-si",45122,77373,325,4652,102,219,977,64975
"Gyeonggi-do","Jungwon-gu, Seongnam-si",45888,79181,365,5060,94,233,854,67870
"Gyeonggi-do","Bundang-gu, Seongnam-si",119039,89136,476,6490,115,185,848,68077
"Gyeonggi-do","Uijeongbu-si",80852,93661,1375,7655,132,265,1148,83267
"Gyeonggi-do","Manan-gu, Anyang-si",58106,71073,363,5625,140,213,873,58528
"Gyeonggi-do","Dongan-gu, Anyang-si",78117,82580,384,6371,135,197,781,56041
"Gyeonggi-do","Wonmi-gu, Bucheon-si",85718,110141,468,8066,176,266,1183,84889
"Gyeonggi-do","Sosa-gu, Bucheon-si",41314,54266,244,4088,103,127,707,44485
"Gyeonggi-do","Ojeong-gu, Bucheon-si",32014,51203,247,3241,67,152,568,45470
"Gyeonggi-do","Gwangmyeong-si",68831,96739,429,7174,126,244,996,68495
"Gyeonggi-do","Pyeongtaek-si",74716,80307,576,13750,162,399,1517,79840
"Gyeonggi-do","Dongducheon-si",16498,17119,367,1389,51,79,360,18034
"Gyeonggi-do","Yangju-gun",29451,34129,619,2713,63,151,714,32882
"Gyeonggi-do","Sangnok-gu, Ansan-si",57532,83368,363,6706,107,197,962,76178
"Gyeonggi-do","Danwon-gu, Ansan-si",49064,70948,346,6526,103,183,904,68600
"Gyeonggi-do","Deogyang-gu, Goyang-si",83298,95339,688,7120,145,229,1087,77934
"Gyeonggi-do","Ilsan-gu, Goyang-si",109247,104866,691,7879,132,216,1001,83368
"Gyeonggi-do","Gwacheon-si",18380,17345,77,1502,31,36,147,11220
"Gyeonggi-do","Uiwang-si",29652,33486,177,2934,57,83,372,23938
"Gyeonggi-do","Guri-si",42439,47872,340,3658,68,153,568,39601
"Gyeonggi-do","Namyangju-si",81868,95537,1150,7108,159,326,1413,86929
"Gyeonggi-do","Osan-si",21518,27750,230,2960,66,127,354,25799
"Gyeonggi-do","Hwaseong-si",47339,52897,618,7009,121,313,1162,53841
"Gyeonggi-do","Siheung-si",60591,87055,396,7153,112,204,983,77075
"Gyeonggi-do","Gunpo-si",60085,69269,298,6509,111,142,671,49265
"Gyeonggi-do","Hanam-si",30251,31972,175,2254,53,108,409,28473
"Gyeonggi-do","Paju-si",55417,53216,917,4457,112,251,1246,55001
"Gyeonggi-do","Icheon-si",39012,41032,449,4833,94,252,849,44996
"Gyeonggi-do","Yongin-si",124890,120714,789,10140,194,411,1564,108373
"Gyeonggi-do","Anseong-si",31209,35526,311,4422,90,256,802,34955
"Gyeonggi-do","Gimpo-si",44538,45302,374,3879,90,170,771,40899
"Gyeonggi-do","Yeoju-gun",25150,22615,336,2564,56,200,717,24888
"Gyeonggi-do","Gwangju-si",37930,43197,328,2998,88,140,703,38122
"Gyeonggi-do","Pocheon-gun",27340,33376,6631,2752,112,227,816,34162
"Gyeonggi-do","Yeoncheon-gun",11283,12673,1735,1185,38,120,360,10765
"Gyeonggi-do","Yangpyeong-gun",24799,17033,319,1700,57,174,769,18465
"Gyeonggi-do","Gapyeong-gun",14848,12561,668,1385,71,129,508,12147
