"primary_cluster","secondary_cluster","Chung Dong-young (Grand Unified Democratic New)","Lee Myung-bak	(Grand National)","Kwon Young-ghil	(Democratic Labor)","Lee In-je	(Democratic)","Moon Kook-hyun (Creative Korea)","Chung Kun-mo (True Owner Coalition)","Huh Kyung-young	(Economic Republican)","Chun Kwan	(Chamsaram Society Full True Act)","Geum Min (Socialist)","Lee Hoi-chang	(Independent)","invalid","blank"
"Busan","Jung-gu",3226,15672,516,65,1208,9,89,6,15,4658,120,16527
"Busan","Seo-gu",8314,39620,1566,169,3025,31,251,19,48,11967,278,44201
"Busan","Dong-gu",6780,31708,1384,150,2402,21,242,11,33,11067,219,33494
"Busan","Yeongdo-gu",13008,41811,2481,221,3613,40,284,23,38,13807,338,52303
"Busan","Busanjin-gu",26287,115334,5511,558,10608,81,834,40,133,40587,640,124242
"Busan","Dongnae-gu",16957,86308,3669,313,7919,53,630,23,123,28480,408,80400
"Busan","Nam-gu",19494,86574,4181,367,7962,50,576,34,89,28994,428,88713
"Busan","Buk-gu",22441,84137,4895,433,8836,81,709,36,116,32511,544,92782
"Busan","Haeundae-gu",26921,118502,5531,441,11234,106,747,44,125,38551,548,119825
"Busan","Gijang-gun",4951,22799,1311,99,1684,25,165,12,16,7513,184,23513
"Busan","Saha-gu",24215,98782,4806,446,9619,63,699,43,122,31723,631,112127
"Busan","Geumjeong-gu",15925,77336,3704,329,7393,63,585,35,91,25631,416,75019
"Busan","Gangseo-gu",3700,14549,722,99,994,20,95,5,14,5237,188,18202
"Busan","Yeonje-gu",13445,63080,2905,244,6072,37,504,21,84,21688,353,61306
"Busan","Suyeong-gu",10807,54832,2069,206,4961,32,395,18,54,17574,222,53130
"Busan","Sasang-gu",20237,67671,3650,459,6755,58,546,36,97,26331,462,82048
"Chungcheongbuk-do","Sangdang-gu, Cheongju-si",24361,46133,3349,948,7176,81,562,31,82,28669,594,72989
"Chungcheongbuk-do","Heungdeok-gu, Cheongju-si",36408,66251,5506,1343,11728,93,764,45,164,42510,798,111937
"Chungcheongbuk-do","Chungju-si",20282,45089,2972,1097,5201,63,597,41,60,18583,867,62354
"Chungcheongbuk-do","Jecheon-si",13123,30743,2620,643,3290,42,377,38,77,15081,671,38944
"Chungcheongbuk-do","Danyang-gun",3873,7552,633,225,785,23,114,11,21,3957,263,9107
"Chungcheongbuk-do","Cheongwon-gun",18173,25120,2309,874,3893,65,275,39,92,15678,784,42680
"Chungcheongbuk-do","Yeongdong-gun",7113,11464,1170,363,1033,34,96,12,45,5502,435,13789
"Chungcheongbuk-do","Boeun-gun",6978,6880,726,368,781,15,88,15,23,3729,304,9476
"Chungcheongbuk-do","Okcheon-gun",9178,9731,1160,507,1252,36,116,22,63,6540,492,15130
"Chungcheongbuk-do","Eumseong-gun",10210,16303,1823,602,1948,51,194,31,38,8161,459,28297
"Chungcheongbuk-do","Jincheon-gun",7549,10792,1446,432,1315,23,142,14,30,5862,311,18344
"Chungcheongbuk-do","Goesan-gun",4786,8404,1163,377,742,27,38,10,44,4787,375,10792
"Chungcheongbuk-do","Jeungpyeong-gun",3603,5037,408,186,740,8,72,12,20,3691,144,9670
"Chungcheongnam-do","Cheonan-si",47217,90229,8381,2093,14876,196,972,65,218,58549,1075,160274
"Chungcheongnam-do","Gongju-si",13301,16936,1639,1378,2732,54,262,37,78,23789,621,39614
"Chungcheongnam-do","Boryeong-si",10172,16630,1686,1217,1972,85,190,40,79,19876,643,32419
"Chungcheongnam-do","Asan-si",18665,35318,5331,1023,5165,67,477,28,122,27337,589,73418
