"primary_cluster","secondary_cluster","Park Geun-hye (Saenuri)","Moon Jae-in (Democratic United)","Park Jong-sun (Independent)","Kim So-yeon (Independent)","Kang Ji-won (Independent)","Kim Soon-ja (Independent)","invalid","blank"
"Busan","Jung-gu",19208,10567,5,10,34,29,86,12184
"Busan","Seo-gu",48129,26426,22,38,104,150,271,28556
"Busan","Dong-gu",40262,22338,14,29,81,91,179,22151
"Busan","Yeongdo-gu",50903,35314,16,38,91,106,297,32716
"Busan","Busanjin-gu",146883,99987,68,118,289,265,635,80176
"Busan","Dongnae-gu",108913,68281,44,68,232,176,460,50538
"Busan","Nam-gu",111763,72244,44,72,226,180,470,55344
"Busan","Buk-gu",111611,83710,45,99,251,205,566,54477
"Busan","Haeundae-gu",155263,103287,53,93,443,241,686,80454
"Busan","Gijang-gun",41164,26084,17,24,77,83,245,21447
"Busan","Saha-gu",125432,89012,64,83,245,203,700,70422
"Busan","Geumjeong-gu",100400,63126,50,75,235,177,473,47657
"Busan","Gangseo-gu",24560,16494,9,13,32,67,144,13364
"Busan","Yeonje-gu",81370,53294,27,57,210,142,350,38925
"Busan","Suyeong-gu",70198,43059,28,41,166,88,276,35104
"Busan","Sasang-gu",88100,69288,49,55,162,186,456,48486
"Chungcheongbuk-do","Sangdang-gu, Cheongju-si",76695,64194,49,71,173,168,448,43699
"Chungcheongbuk-do","Heungdeok-gu, Cheongju-si",124308,119523,90,129,348,297,639,77065
"Chungcheongbuk-do","Chungju-si",73561,48264,45,70,212,273,399,43794
"Chungcheongbuk-do","Jecheon-si",50284,31682,32,42,151,195,361,28108
"Chungcheongbuk-do","Danyang-gun",12957,6510,12,8,51,105,120,6723
"Chungcheongbuk-do","Cheongwon-gun",46968,43359,43,52,149,262,410,30321
"Chungcheongbuk-do","Yeongdong-gun",20397,11169,20,35,57,156,210,10710
"Chungcheongbuk-do","Boeun-gun",13783,8261,17,13,56,129,172,7088
"Chungcheongbuk-do","Okcheon-gun",21799,11691,21,36,64,189,230,10382
"Chungcheongbuk-do","Eumseong-gun",30459,21825,40,34,108,160,317,21784
"Chungcheongbuk-do","Jincheon-gun",20614,15560,18,25,59,106,161,13752
"Chungcheongbuk-do","Goesan-gun",15442,8646,16,18,61,147,172,8488
"Chungcheongbuk-do","Jeungpyeong-gun",11175,8223,7,9,22,54,86,7140
"Chungcheongnam-do","Seobuk-gu, Cheonan-si",87555,87706,53,97,255,198,494,65996
"Chungcheongnam-do","Dongnam-gu, Cheonan-si",78289,65604,47,49,213,247,427,54232
"Chungcheongnam-do","Gongju-si",39883,30141,39,30,109,218,358,25349
"Chungcheongnam-do","Boryeong-si",38636,23493,33,34,108,233,342,23261
"Chungcheongnam-do","Asan-si",81388,72189,51,101,232,237,500,57684
"Chungcheongnam-do","Seosan-si",53072,38595,40,74,160,281,449,33728
"Chungcheongnam-do","Taean-gun",24128,13435,19,31,52,197,216,14802
"Chungcheongnam-do","Geumsan-gun",20470,12762,15,21,75,182,198,12865
"Chungcheongnam-do","Nonsan-si",39225,34402,51,41,147,236,419,29301
"Chungcheongnam-do","Gyeryong-si",13572,9934,4,15,48,28,60,6271
"Chungcheongnam-do","Dangjin-si",50429,35909,33,64,130,211,327,35349
"Chungcheongnam-do","Buyeo-gun",28725,16461,55,52,130,209,448,15724
"Chungcheongnam-do","Seocheon-gun",20671,15102,20,25,83,190,263,13874
"Chungcheongnam-do","Hongseong-gun",32170,19514,20,24,92,228,249,19698
"Chungcheongnam-do","Cheongyang-gun",13490,6989,17,15,54,137,147,6717
"Chungcheongnam-do","Yesan-gun",37225,15394,19,15,88,166,262,18805
"Daegu","Jung-gu",39910,9282,10,14,47,73,127,15475
"Daegu","Dong-gu",176185,43659,68,95,294,302,668,58794
"Daegu","Seo-gu",120625,22092,37,56,152,226,361,42223
"Daegu","Nam-gu",88347,20092,30,47,156,162,241,34751
"Daegu","Buk-gu",220974,56240,52,101,368,326,661,68432
"Daegu","Suseong-gu",225052,60016,46,94,441,244,586,67078
"Daegu","Dalseo-gu",304535,76363,82,163,427,407,897,89722
"Daegu","Dalseong-gun",92161,21290,41,54,158,244,425,28465
"Daejeon","Dong-gu",77725,71702,43,72,200,185,417,52374
"Daejeon","Jung-gu",85297,73173,42,71,230,172,463,50946
"Daejeon","Seo-gu",144068,148011,87,148,414,296,743,89088
"Daejeon","Yuseong-gu",81928,96401,55,92,282,147,424,46607
"Daejeon","Daedeok-gu",61558,59023,44,78,165,169,442,38939
"Gangwon-do","Chuncheon-si",93414,69365,60,104,276,245,517,51950
"Gangwon-do","Wonju-si",105702,75943,55,110,280,282,565,68438
"Gangwon-do","Gangneung-si",85045,43750,41,50,200,233,457,45301
"Gangwon-do","Donghae-si",36139,18511,18,23,68,99,225,19490
"Gangwon-do","Samcheok-si",28849,14874,32,72,80,216,329,16272
"Gangwon-do","Taebaek-si",18850,9935,10,11,34,51,102,11415
"Gangwon-do","Jeongseon-gun",15188,8610,11,6,45,126,130,9665
"Gangwon-do","Sokcho-si",29651,17671,16,19,66,61,150,18663
"Gangwon-do","Goseong-gun",12689,6285,11,9,44,49,90,6492
"Gangwon-do","Yangyang-gun",12007,5869,9,7,19,45,99,5529
"Gangwon-do","Inje-gun",12156,7320,11,11,38,93,133,6472
"Gangwon-do","Hongcheon-gun",26715,15201,18,20,75,141,236,15057
