"primary_cluster","secondary_cluster","Moon Jae-in (Deomcratic)","Hong Joon-pyo (Liberty Korea)","Ahn Cheol-soo (People's)","Yoo Seong-min (Bareum)","Sim Sang-jung (Justice)","Cho Won-jin (Saenuri)","Oh Young-guk (Economic Patriots)","Jang Seong-min (Grand National United)","Lee Jae-oh (Evergreen Korea)","Kim Seon-dong (People's United)","Lee Kyung-hee (Korean Nationalist)","Yoon Hong-sik (Hongik)","Kim Min-chan (Independent)","invalid","blank"
"Busan","Jung-gu",9918,10684,4675,1845,1274,47,4,11,3,14,7,9,18,95,11844
"Busan","Seo-gu",24522,26360,11868,4913,3131,77,8,70,14,32,25,51,77,298,27090
"Busan","Dong-gu",19606,22188,9815,3606,2589,65,14,47,19,21,19,31,62,222,21416
"Busan","Yeongdo-gu",30094,25345,13082,5375,3416,78,9,51,21,46,15,45,82,354,31872
"Busan","Busanjin-gu",95042,79545,40636,16855,12045,309,25,146,45,121,49,111,224,971,77427
"Busan","Dongnae-gu",67947,59616,30208,13211,8812,196,25,82,26,80,32,65,169,629,48366
"Busan","Nam-gu",68566,59137,30943,13029,8780,226,27,98,32,72,29,92,174,717,51916
"Busan","Buk-gu",83611,61175,32712,14567,9862,213,24,124,48,93,39,95,233,893,55004
"Busan","Haeundae-gu",102106,80904,48325,20918,12573,428,31,124,53,99,51,115,225,918,77754
"Busan","Gijang-gun",39412,26556,15909,6775,4988,107,17,54,16,43,20,58,95,343,29730
"Busan","Saha-gu",82452,65252,36713,14958,10664,225,25,138,66,71,63,85,215,949,68967
"Busan","Geumjeong-gu",60169,54418,26729,13143,8188,190,13,99,35,103,33,91,159,757,45754
"Busan","Gangseo-gu",30783,18711,10629,4875,3154,64,9,34,21,20,19,39,59,216,19885
"Busan","Yeonje-gu",52454,44221,23321,9900,6745,130,15,59,20,53,27,55,105,497,37663
"Busan","Suyeong-gu",43702,39832,20319,8414,5952,171,10,70,18,38,22,47,91,378,35573
"Busan","Sasang-gu",61743,46540,23023,10096,7156,125,20,109,28,75,46,52,168,687,48330
"Chungcheongbuk-do","Sangdang-gu, Cheongju-si",42308,27108,21983,6509,7306,132,27,60,44,95,63,87,127,467,33764
"Chungcheongbuk-do","Seowon-gu, Cheongju-si",56521,30471,28912,8459,9454,157,30,73,48,103,56,50,114,532,39220
"Chungcheongbuk-do","Heungdeok-gu, Cheongju-si",66281,31023,32756,9951,11601,144,40,74,73,123,60,71,188,679,49737
"Chungcheongbuk-do","Cheongwon-gu, Cheongju-si",50487,24026,24203,7285,8249,114,29,73,34,95,63,67,151,451,35454
"Chungcheongbuk-do","Chungju-si",43551,38532,28588,7233,8115,151,33,85,44,89,88,129,147,641,45374
"Chungcheongbuk-do","Jecheon-si",28517,26977,17768,5085,5249,99,19,76,40,64,74,106,135,491,29135
"Chungcheongbuk-do","Danyang-gun",5708,7901,4026,978,964,44,10,18,9,11,49,43,19,125,6794
"Chungcheongbuk-do","Yeongdong-gun",10432,10958,7017,1726,1873,42,18,35,17,50,29,70,77,210,11330
"Chungcheongbuk-do","Boeun-gun",7268,7587,4910,1015,1135,38,14,32,14,22,35,65,47,159,7675
