"primary_cluster","secondary_cluster","Lee Jae-myung (Democratic)","Yoon Suk-yeol (People Power)","Sim Sang-jung (Justice)","Oh Jun-ho (Basic Income)","Huh Kyung-young (National Revolutionary Dividends)","Lee Baek-yun (Labor)","Ok Un-ho (Saenuri)","Kim Gyeong-jae (New Liberal Democratic Union)","Cho Won-jin (Our Republican)","Kim Jae-yeon (Progressive)","Lee Gyeong-hee (Korean Unification)","Kim Min-chan (Korean Wave Alliance)","invalid","blank"
"Busan","Jung-gu",9929,16153,600,9,349,7,5,6,24,21,13,10,282,10624
"Busan","Seo-gu",25154,41470,1508,40,713,22,13,18,52,72,19,31,674,24331
"Busan","Dong-gu",21558,35081,1190,28,665,19,8,24,56,64,23,34,576,21073
"Busan","Yeongdo-gu",29565,39058,1368,41,712,26,18,13,55,125,29,36,650,28377
"Busan","Busanjin-gu",89233,133285,5214,137,2423,59,30,52,216,350,68,97,2310,80265
"Busan","Dongnae-gu",65261,106515,4035,73,1683,41,28,47,147,245,31,68,1594,52311
"Busan","Nam-gu",64361,101749,3652,64,1515,43,23,43,156,251,46,53,1601,53541
"Busan","Buk-gu",74650,105576,4262,90,2065,63,37,47,198,204,51,114,1768,57779
"Busan","Haeundae-gu",92631,156792,5068,118,2157,60,35,61,212,291,48,94,2049,80231
"Busan","Gijang-gun",42955,58497,2253,54,1212,28,13,23,78,131,21,40,843,37879
"Busan","Saha-gu",78332,108983,4277,91,2304,49,34,45,156,254,62,102,1911,72154
"Busan","Geumjeong-gu",54772,93283,3500,97,1397,38,29,45,147,234,51,71,1542,46441
"Busan","Gangseo-gu",36016,44889,1834,30,944,8,15,14,42,72,16,21,587,27842
"Busan","Yeonje-gu",51471,81889,3087,72,1198,19,16,31,108,209,20,44,1187,41381
"Busan","Suyeong-gu",41801,71160,2617,49,1017,22,21,28,104,104,27,40,1027,38350
"Busan","Sasang-gu",54207,75692,3076,78,1636,42,27,30,116,172,50,87,1445,48707
"Chungcheongbuk-do","Sangdang-gu, Cheongju-si",55852,59685,3548,89,1267,61,23,34,87,112,45,73,1322,40751
"Chungcheongbuk-do","Seowon-gu, Cheongju-si",56323,61745,3499,94,1240,54,34,24,66,123,41,64,1419,40480
"Chungcheongbuk-do","Heungdeok-gu, Cheongju-si",76940,77952,4770,96,1745,41,28,33,94,140,59,63,1722,59652
"Chungcheongbuk-do","Cheongwon-gu, Cheongju-si",56679,54855,3331,54,1283,35,20,31,94,123,56,70,1205,41835
"Chungcheongbuk-do","Chungju-si",58801,70382,3270,75,1509,53,29,45,110,122,104,89,1259,45128
"Chungcheongbuk-do","Jecheon-si",36442,46482,1922,44,1000,28,14,15,93,97,83,74,797,27226
"Chungcheongbuk-do","Danyang-gun",7271,11969,387,12,207,7,6,9,33,32,64,26,170,5555
"Chungcheongbuk-do","Yeongdong-gun",12029,18238,664,11,347,20,4,14,26,49,33,24,336,9370
"Chungcheongbuk-do","Boeun-gun",8757,12754,525,12,275,8,10,9,26,29,37,28,247,6254
"Chungcheongbuk-do","Okcheon-gun",14138,18241,864,31,400,15,5,13,32,67,55,28,353,10429
"Chungcheongbuk-do","Eumseong-gun",26700,28700,1310,33,700,23,15,28,43,66,41,43,614,22630
"Chungcheongbuk-do","Jincheon-gun",25402,23759,1361,34,672,17,8,17,28,73,30,33,498,19374
"Chungcheongbuk-do","Goesan-gun",10304,15895,546,22,245,18,9,11,23,34,30,27,255,7400
"Chungcheongbuk-do","Jeungpyeong-gun",10215,11264,560,7,275,5,8,5,24,16,20,11,243,8300
"Chungcheongnam-do","Seobuk-gu, Cheonan-si",115553,110141,6568,152,2673,59,32,39,134,200,63,122,2418,91456
"Chungcheongnam-do","Dongnam-gu, Cheonan-si",71851,77739,4085,83,1775,48,22,38,97,150,47,88,1410,58760
"Chungcheongnam-do","Gongju-si",28472,37339,1423,43,695,21,6,16,57,89,48,42,621,22812
"Chungcheongnam-do","Boryeong-si",26207,36419,1367,37,655,28,14,18,55,103,59,70,683,20538
"Chungcheongnam-do","Asan-si",93262,89998,4976,104,2193,85,34,42,120,169,55,72,1817,72209
"Chungcheongnam-do","Seosan-si",48642,54892,2640,69,1264,61,19,21,69,111,59,73,1070,39211
"Chungcheongnam-do","Taean-gun",16678,23511,873,17,323,18,3,14,31,53,53,43,411,13292
"Chungcheongnam-do","Geumsan-gun",14002,18178,647,26,331,8,7,14,23,49,42,37,335,11100
"Chungcheongnam-do","Nonsan-si",33822,36203,1601,35,788,17,12,22,67,113,81,47,704,26773
"Chungcheongnam-do","Gyeryong-si",11891,14718,799,22,243,5,4,14,13,32,4,14,233,6753
"Chungcheongnam-do","Dangjin-si",46903,49230,2258,35,1157,44,14,24,76,152,49,62,870,38607
"Chungcheongnam-do","Buyeo-gun",16813,25136,878,28,438,19,4,17,34,103,57,43,405,13598
"Chungcheongnam-do","Seocheon-gun",15443,18168,688,19,263,14,8,13,26,74,47,48,325,10861
"Chungcheongnam-do","Hongseong-gun",25860,33581,1536,28,611,28,6,9,38,65,60,49,545,21963
"Chungcheongnam-do","Cheongyang-gun",7688,12932,416,23,223,7,6,3,12,33,23,21,201,6166
"Chungcheongnam-do","Yesan-gun",16904,32098,1034,29,537,15,9,10,47,90,44,33,499,17715
"Daegu","Jung-gu",10913,38288,981,42,392,21,9,17,99,22,8,26,507,14639
"Daegu","Dong-gu",52170,171004,4522,111,2122,40,37,69,433,152,78,83,2171,64320
"Daegu","Seo-gu",19516,89620,1818,68,1172,28,20,22,236,79,57,46,1222,35825
"Daegu","Nam-gu",19765,73865,1784,87,977,68,24,37,199,49,17,36,1054,31749
"Daegu","Buk-gu",66469,215861,6090,155,2591,54,49,71,436,149,83,124,2700,78341
"Daegu","Suseong-gu",59379,216031,5168,132,1848,37,33,89,385,127,57,88,2163,64408
"Daegu","Dalseo-gu",77951,275155,7361,180,3102,63,58,102,786,209,109,132,3454,98130
"Daegu","Dalseong-gun",38882,120064,3407,117,1737,33,31,44,250,151,63,84,1435,47790
"Daejeon","Dong-gu",65555,70069,3603,103,1606,34,28,41,111,157,44,82,1371,49546
"Daejeon","Jung-gu",66698,77459,3782,68,1412,38,19,47,98,174,45,74,1286,48437
"Daejeon","Seo-gu",139877,150031,8427,173,2718,70,42,70,159,267,61,118,2860,94726
"Daejeon","Yuseong-gu",108701,111342,6492,126,1599,44,31,44,124,187,63,63,2211,57659
"Daejeon","Daedeok-gu",54119,55159,3141,96,1258,37,18,25,96,173,45,58,1179,37501
"Gangwon-do","Chuncheon-si",82376,94926,5294,116,1775,83,27,26,98,202,58,67,1598,56757
"Gangwon-do","Wonju-si",100954,113560,6105,143,2595,58,38,63,228,267,83,111,2034,76642
"Gangwon-do","Gangneung-si",54377,80482,3434,80,1511,41,31,41,121,173,55,74,1304,44099
"Gangwon-do","Donghae-si",22896,31739,1359,24,757,14,8,14,57,55,23,21,548,19632
"Gangwon-do","Samcheok-si",16297,25308,897,25,457,25,9,22,32,58,48,34,430,12591
"Gangwon-do","Taebaek-si",10846,15101,489,11,295,8,1,5,21,24,18,18,202,8512
"Gangwon-do","Jeongseon-gun",10103,13643,494,8,297,4,1,6,21,43,28,18,232,7203
"Gangwon-do","Sokcho-si",21713,28342,1230,16,627,17,6,13,23,37,17,18,457,19055
"Gangwon-do","Goseong-gun",7433,10840,427,8,216,5,2,3,10,20,18,18,218,5450
"Gangwon-do","Yangyang-gun",7343,11495,434,4,222,3,8,2,13,10,14,6,162,5541
"Gangwon-do","Inje-gun",8937,11591,501,20,333,4,4,8,14,36,14,25,349,6061
"Gangwon-do","Hongcheon-gun",18418,25851,1049,37,593,15,11,19,31,144,32,34,463,14175
"Gangwon-do","Hoengseong-gun",12557,18546,676,19,405,12,4,7,30,40,25,18,286,9060
"Gangwon-do","Yeongwol-gun",10758,14904,536,13,309,14,2,13,39,43,27,15,252,7381
"Gangwon-do","Pyeongchang-gun",11463,16571,564,17,366,5,8,7,34,33,26,25,234,7972
"Gangwon-do","Hwacheon-gun",6445,9009,433,12,283,6,6,4,18,26,7,18,227,4594
"Gangwon-do","Yanggu-gun",5689,7878,387,13,260,4,8,2,14,23,16,20,215,4036
"Gangwon-do","Cheorwon-gun",11039,15194,722,16,367,5,7,7,20,26,16,20,407,9402
"Gwangju","Dong-gu",60669,11036,1063,28,389,22,5,16,4,88,12,31,514,16801
"Gwangju","Seo-gu",170357,26262,2961,68,1127,44,18,29,19,277,34,82,1355,45514
"Gwangju","Nam-gu",124572,19927,2073,63,811,32,17,19,24,171,40,73,1032,31789
"Gwangju","Buk-gu",249976,36421,4550,142,1896,65,26,45,34,350,51,104,1998,67430
"Gwangju","Gwangsan-gu",224484,30865,4218,133,1915,79,26,31,31,480,51,165,1992,62180
"Gyeonggi-do","Jangan-gu, Suwon-si",91842,83470,4755,122,1320,27,27,38,170,188,46,68,1809,50841
"Gyeonggi-do","Gwonseon-gu, Suwon-si",121028,103154,5754,121,1981,55,42,63,187,218,48,99,2305,76481
"Gyeonggi-do","Paldal-gu, Suwon-si",58024,56051,3003,63,1046,30,14,24,97,128,28,39,1080,42120
"Gyeonggi-do","Yeongtong-gu, Suwon-si",114418,114252,6385,131,1216,45,15,46,121,151,40,71,2263,56674
"Gyeonggi-do","Sujeong-gu, Seongnam-si",86224,68806,3128,57,904,22,19,38,109,318,19,66,1296,46992
"Gyeonggi-do","Jungwon-gu, Seongnam-si",80857,56072,2799,65,861,28,15,25,94,322,38,69,1123,43910
"Gyeonggi-do","Bundang-gu, Seongnam-si",140966,183094,7005,105,1007,45,31,82,229,198,42,81,2549,69059
"Gyeonggi-do","Uijeongbu-si",154851,127348,6788,152,2338,51,33,65,226,592,72,112,2401,103931
"Gyeonggi-do","Manan-gu, Anyang-si",82650,73147,3901,72,1111,39,17,40,145,134,46,68,1442,46271
"Gyeonggi-do","Dongan-gu, Anyang-si",105221,102552,5574,72,1015,47,25,42,144,115,40,67,1715,46266
"Gyeonggi-do","Bucheon-si",285227,224331,13249,351,3817,126,76,125,323,515,118,218,4519,166683
"Gyeonggi-do","Gwangmyeong-si",103470,87112,4746,98,1118,46,24,30,151,138,50,75,1611,48688
"Gyeonggi-do","Pyeongtaek-si",166032,156630,7988,166,3791,108,47,71,220,525,87,140,2963,133964
"Gyeonggi-do","Yangju-si",75236,63800,3162,65,1475,36,20,31,111,287,41,70,1228,51783
"Gyeonggi-do","Dongducheon-si",28495,26434,1125,26,647,14,11,22,61,141,24,32,500,23543
"Gyeonggi-do","Sangnok-gu, Ansan-si",121488,90654,5103,165,2092,60,32,48,152,237,58,106,2059,81159
"Gyeonggi-do","Danwon-gu, Ansan-si",103595,80605,4563,134,1715,55,29,35,136,183,41,84,1773,67711
"Gyeonggi-do","Deogyang-gu, Goyang-si",167037,139914,10643,165,1932,89,46,86,208,340,48,81,2444,91177
"Gyeonggi-do","Ilsandong-gu, Goyang-si",96990,91849,5032,90,1120,51,12,53,120,133,24,49,1481,59650
"Gyeonggi-do","Ilsanseo-gu, Goyang-si",99597,89677,4975,108,1019,43,18,47,130,147,33,63,1454,53892
"Gyeonggi-do","Gwacheon-si",21072,30934,1314,30,228,19,10,20,28,31,7,12,489,9647
"Gyeonggi-do","Uiwang-si",54997,53556,2717,52,636,30,22,15,77,84,17,35,867,26607
"Gyeonggi-do","Guri-si",63465,58865,3023,36,878,31,18,32,107,117,28,54,1034,36593
"Gyeonggi-do","Namyangju-si",239179,203075,10089,186,3326,100,56,107,322,388,97,156,3437,147628
"Gyeonggi-do","Osan-si",72877,55793,3352,65,1427,38,12,17,74,143,26,58,1226,53189
"Gyeonggi-do","Hwaseong-si",283324,236055,12955,194,4007,100,58,90,223,399,117,177,4328,161869
"Gyeonggi-do","Siheung-si",178462,125544,7082,151,2682,47,51,50,218,285,57,136,2432,107526
"Gyeonggi-do","Gunpo-si",94891,80277,4593,79,1185,47,24,42,118,120,35,58,1620,46795
"Gyeonggi-do","Hanam-si",101106,100088,4624,81,1025,39,27,35,114,156,37,39,1487,56229
"Gyeonggi-do","Paju-si",157155,126763,7176,154,2566,98,45,88,211,342,84,119,2477,103982
"Gyeonggi-do","Yeoju-si",30695,38731,1458,39,731,19,12,17,74,86,39,49,616,25511
"Gyeonggi-do","Icheon-si",63562,67726,2995,68,1354,34,21,36,77,154,47,64,1374,50383
"Gyeonggi-do","Cheoin-gu, Yongin-si",80188,75105,3618,78,1532,33,27,44,105,162,46,69,1413,58269
"Gyeonggi-do","Suji-gu, Yongin-si",113161,128995,5334,81,831,32,34,73,146,98,26,54,1899,53781
"Gyeonggi-do","Giheung-gu, Yongin-si",143279,135606,6267,93,1477,40,31,75,150,188,37,84,2132,72294
"Gyeonggi-do","Anseong-si",56723,54799,2892,87,1238,24,20,30,75,156,25,54,1257,45072
"Gyeonggi-do","Gimpo-si",153206,136814,6905,114,2175,54,31,73,197,227,79,78,2217,89719
